ID,Name
1,EURUSD
2,GBPUSD
3,EURJPY
4,USDJPY
5,AUDUSD
6,USDCHF
7,GBPJPY
8,USDCAD
9,EURGBP
10,EURCHF
11,AUDJPY
12,NZDUSD
13,CHFJPY
14,EURAUD
15,CADJPY
16,GBPAUD
17,EURCAD
18,AUDCAD
19,GBPCAD
22,USDNOK
23,AUDCHF
24,USDMXN
25,GBPNZD
27,CADCHF
29,USDSEK
40,GBPCHF
41,XAUUSD
42,XAGUSD
46,USDCNH
47,EURSEK
48,GBPZAR
49,USDTRY
50,NZDCHF
51,EURPLN
52,USDZAR
53,EURMXN
54,EURDKK
55,EURHUF
56,SGDJPY
57,EURNOK
58,EURHKD
59,GBPNOK
60,USDHUF
61,NZDCAD
62,EURZAR
63,EURCZK
64,NZDSGD
65,USDPLN
66,EURNZD
67,AUDNZD
68,EURTRY
69,USDDKK
70,NZDJPY
72,USDCZK
73,USDSGD
74,GBPSGD
10091,XBRUSD
10092,XTIUSD
10093,GBPSEK
20016,ADVANCE AUTO PARTS
20020,FOSSIL
20022,MORGAN STANLEY
20055,FACEBOOK
20102,BEST BUY
20135,FOOT LOCKER
20143,ABBVIE
20188,GROUPON
20210,GLOBAL PAYMENTS
20241,AVON PRODUCTS
20298,DIAMOND OFFSHORE
20342,EXPEDIA
20375,BANK OF NEW YORK
20396,AMERICAN AIRLINES
20412,DEVON ENERGY
20418,CATERPILLAR
20451,CHEVRON
20455,CROCS
20476,ALCOA
20488,BANK OF AMERICA
20509,GOPRO
20519,DEXCOM
20589,GENERAC HOLDINGS
20598,CITIGROUP
20600,ALLIANCE DATA SYSTEMS
20616,CREDIT SUISSE
20622,GOGO
20652,PEUGEOT
20654,BOUYGUES
20660,SEMAPA
20694,SBM OFFSHORE
20711,GALP ENERGIA
20716,UNILEVER
20736,RHEINMETALL
20746,SAFRAN
20758,BNP PARIBAS
20767,AXA
20775,REXEL
20790,DANONE
20792,TESCO
20796,SIEMENS
20804,ABB
20805,COFINIMMO
20811,ARCADIS
20829,CASINO
20864,EDF
20869,ROLLS-ROYCE
20870,BRITISH AMERICAN TOBACCO
20880,RANDSTAD
